order_id,product,quantity_tonnes,destination_id,destination_city,distance_km,order_date,deadline,deadline_days,priority,order_type,estimated_freight,penalty_per_day,status
ORD1000,Structurals,517.4,CMO02,Mumbai,1800,2024-02-11,2024-02-21,10,Low,Rail,1117584.0,5000,Pending
ORD1001,Plate,1027.14,CMO02,Mumbai,1800,2024-06-24,2024-07-02,8,Low,Rail,2218622.4,5000,Pending
ORD1002,HR Coil,394.51,CMO07,Pune,1750,2024-03-21,2024-03-30,9,High,Road,828471.0,30000,Pending
ORD1003,Structurals,649.15,CMO03,Chennai,2100,2024-02-24,2024-03-08,13,Low,Rail,1635858.0,5000,Pending
ORD1004,CR Coil,919.49,CMO03,Chennai,2100,2024-02-05,2024-02-11,6,Medium,Road,2317114.8,15000,Pending
ORD1005,Wire Rod,341.25,CMO05,Hyderabad,1600,2024-04-12,2024-04-20,8,Low,Rail,655200.0,5000,Pending
ORD1006,HR Coil,268.13,CMO07,Pune,1750,2024-01-13,2024-01-17,4,High,Rail,563073.0,30000,Pending
ORD1007,Plate,755.48,CMO01,Delhi,1200,2024-04-08,2024-04-17,9,Medium,Rail,1087891.2,15000,Pending
ORD1008,Plate,892.79,CMO07,Pune,1750,2024-01-03,2024-01-16,13,Medium,Rail,1874859.0,15000,Pending
ORD1009,TMT Bar,222.71,CMO07,Pune,1750,2024-06-13,2024-06-21,8,Medium,Rail,467691.0,15000,Pending
ORD1010,Structurals,938.16,CMO06,Ahmedabad,1900,2024-03-08,2024-03-19,11,Medium,Rail,2139004.8,15000,Pending
ORD1011,Structurals,769.87,CMO03,Chennai,2100,2024-06-12,2024-06-23,11,High,Road,1940072.4,30000,Pending
ORD1012,Plate,758.84,CMO07,Pune,1750,2024-05-15,2024-05-18,3,Medium,Rail,1593564.0,15000,Pending
ORD1013,TMT Bar,163.72,CMO07,Pune,1750,2024-03-19,2024-03-25,6,Low,Road,343812.0,5000,Pending
ORD1014,HR Coil,1175.78,CMO06,Ahmedabad,1900,2024-05-04,2024-05-08,4,Medium,Rail,2680778.4,15000,Pending
ORD1015,Structurals,391.56,CMO04,Kolkata,350,2024-05-20,2024-05-25,5,Low,Rail,164455.2,5000,Pending
ORD1016,CR Coil,884.24,CMO05,Hyderabad,1600,2024-06-25,2024-07-01,6,Medium,Rail,1697740.8,15000,Pending
ORD1017,TMT Bar,233.1,CMO04,Kolkata,350,2024-05-12,2024-05-22,10,High,Rail,97902.0,30000,Pending
ORD1018,Plate,342.24,CMO05,Hyderabad,1600,2024-02-28,2024-03-11,12,Critical,Rail,657100.8,50000,Dispatched
ORD1019,CR Coil,177.94,CMO01,Delhi,1200,2024-01-09,2024-01-17,8,High,Rail,256233.6,30000,Pending
ORD1020,CR Coil,1129.07,CMO05,Hyderabad,1600,2024-02-03,2024-02-17,14,Medium,Rail,2167814.4,15000,Pending
ORD1021,Semis,203.76,CMO04,Kolkata,350,2024-04-14,2024-04-20,6,Medium,Rail,85579.2,15000,Pending
ORD1022,Wire Rod,818.8,CMO04,Kolkata,350,2024-01-14,2024-01-27,13,Medium,Rail,343896.0,15000,Pending
ORD1023,Structurals,310.75,CMO03,Chennai,2100,2024-01-28,2024-02-03,6,Medium,Rail,783090.0,15000,Pending
ORD1024,CR Coil,1061.93,CMO03,Chennai,2100,2024-04-28,2024-05-04,6,Critical,Road,2676063.6,50000,Dispatched
ORD1025,Semis,817.36,CMO05,Hyderabad,1600,2024-01-26,2024-01-29,3,Medium,Rail,1569331.2,15000,Pending
ORD1026,HR Coil,547.06,CMO07,Pune,1750,2024-03-01,2024-03-06,5,Medium,Road,1148826.0,15000,Pending
ORD1027,HR Coil,1183.84,CMO02,Mumbai,1800,2024-04-07,2024-04-10,3,High,Road,2557094.4,30000,Pending
ORD1028,Wire Rod,1153.05,CMO03,Chennai,2100,2024-04-18,2024-05-02,14,Low,Rail,2905686.0,5000,Pending
ORD1029,Structurals,426.38,CMO04,Kolkata,350,2024-02-09,2024-02-15,6,Low,Rail,179079.6,5000,Pending
ORD1030,Plate,155.16,CMO01,Delhi,1200,2024-03-21,2024-03-24,3,Medium,Road,223430.4,15000,Pending
ORD1031,Plate,188.12,CMO02,Mumbai,1800,2024-01-15,2024-01-26,11,High,Rail,406339.2,30000,Pending
ORD1032,Structurals,231.88,CMO07,Pune,1750,2024-03-01,2024-03-10,9,Low,Rail,486948.0,5000,Pending
ORD1033,Plate,561.15,CMO01,Delhi,1200,2024-06-07,2024-06-11,4,Medium,Rail,808056.0,15000,Pending
ORD1034,TMT Bar,445.6,CMO02,Mumbai,1800,2024-06-20,2024-07-04,14,High,Rail,962496.0,30000,Pending
ORD1035,Structurals,1121.92,CMO03,Chennai,2100,2024-04-27,2024-05-05,8,Low,Rail,2827238.4,5000,Pending
ORD1036,Plate,691.4,CMO05,Hyderabad,1600,2024-01-26,2024-01-30,4,Medium,Rail,1327488.0,15000,Pending
ORD1037,TMT Bar,413.49,CMO01,Delhi,1200,2024-03-03,2024-03-11,8,Medium,Rail,595425.6,15000,Pending
ORD1038,TMT Bar,108.61,CMO05,Hyderabad,1600,2024-06-16,2024-06-27,11,Low,Rail,208531.2,5000,Pending
ORD1039,Structurals,226.97,CMO01,Delhi,1200,2024-02-04,2024-02-11,7,High,Rail,326836.8,30000,Pending
ORD1040,TMT Bar,889.37,CMO03,Chennai,2100,2024-06-03,2024-06-09,6,High,Rail,2241212.4,30000,Pending
ORD1041,TMT Bar,1095.87,CMO05,Hyderabad,1600,2024-05-05,2024-05-12,7,Low,Rail,2104070.4,5000,Pending
ORD1042,Wire Rod,103.9,CMO07,Pune,1750,2024-03-11,2024-03-14,3,Low,Rail,218190.0,5000,Pending
ORD1043,TMT Bar,876.23,CMO02,Mumbai,1800,2024-04-23,2024-05-04,11,Medium,Rail,1892656.8,15000,Pending
ORD1044,Structurals,1018.05,CMO02,Mumbai,1800,2024-05-19,2024-05-22,3,Medium,Rail,2198988.0,15000,Pending
ORD1045,CR Coil,1088.88,CMO01,Delhi,1200,2024-03-19,2024-03-27,8,Low,Road,1567987.2,5000,Pending
ORD1046,TMT Bar,833.63,CMO02,Mumbai,1800,2024-06-23,2024-06-29,6,Medium,Rail,1800640.8,15000,Pending
ORD1047,Semis,270.01,CMO04,Kolkata,350,2024-06-07,2024-06-21,14,Low,Road,113404.2,5000,Pending
ORD1048,Semis,127.26,CMO07,Pune,1750,2024-02-15,2024-02-24,9,Medium,Rail,267246.0,15000,Pending
ORD1049,Wire Rod,991.82,CMO07,Pune,1750,2024-06-20,2024-07-04,14,High,Road,2082822.0,30000,Pending
ORD1050,HR Coil,344.68,CMO04,Kolkata,350,2024-01-10,2024-01-20,10,Low,Rail,144765.6,5000,Pending
ORD1051,TMT Bar,126.03,CMO07,Pune,1750,2024-02-28,2024-03-05,6,High,Rail,264663.0,30000,Pending
ORD1052,Semis,805.63,CMO01,Delhi,1200,2024-03-12,2024-03-20,8,Medium,Road,1160107.2,15000,Pending
ORD1053,Plate,1064.74,CMO03,Chennai,2100,2024-01-08,2024-01-12,4,High,Rail,2683144.8,30000,Dispatched
ORD1054,TMT Bar,578.02,CMO01,Delhi,1200,2024-01-28,2024-02-09,12,Medium,Rail,832348.8,15000,Pending
ORD1055,Plate,1089.46,CMO05,Hyderabad,1600,2024-01-30,2024-02-08,9,High,Rail,2091763.2,30000,Dispatched
ORD1056,Wire Rod,692.3,CMO01,Delhi,1200,2024-05-13,2024-05-28,15,Medium,Road,996912.0,15000,Pending
ORD1057,Structurals,176.97,CMO02,Mumbai,1800,2024-04-03,2024-04-12,9,Medium,Rail,382255.2,15000,Pending
ORD1058,TMT Bar,1090.05,CMO06,Ahmedabad,1900,2024-02-01,2024-02-15,14,Medium,Rail,2485314.0,15000,Pending
ORD1059,TMT Bar,709.85,CMO04,Kolkata,350,2024-06-27,2024-07-04,7,High,Rail,298137.0,30000,Pending
ORD1060,Wire Rod,726.02,CMO06,Ahmedabad,1900,2024-02-14,2024-02-26,12,Medium,Road,1655325.6,15000,Pending
ORD1061,TMT Bar,964.33,CMO03,Chennai,2100,2024-02-23,2024-03-03,9,Medium,Rail,2430111.6,15000,Pending
ORD1062,Wire Rod,662.29,CMO04,Kolkata,350,2024-06-21,2024-06-27,6,Low,Road,278161.8,5000,Pending
ORD1063,Structurals,412.17,CMO02,Mumbai,1800,2024-06-17,2024-06-21,4,Medium,Rail,890287.2,15000,Pending
ORD1064,HR Coil,441.46,CMO07,Pune,1750,2024-03-01,2024-03-14,13,Low,Rail,927066.0,5000,Pending
ORD1065,HR Coil,1034.71,CMO02,Mumbai,1800,2024-05-01,2024-05-13,12,Critical,Rail,2234973.6,50000,Dispatched
ORD1066,Structurals,865.99,CMO05,Hyderabad,1600,2024-02-19,2024-03-04,14,Medium,Rail,1662700.8,15000,Pending
ORD1067,Structurals,1046.48,CMO06,Ahmedabad,1900,2024-01-02,2024-01-17,15,Low,Road,2385974.4,5000,Pending
ORD1068,CR Coil,611.0,CMO02,Mumbai,1800,2024-06-27,2024-07-08,11,Medium,Road,1319760.0,15000,Pending
ORD1069,HR Coil,611.11,CMO04,Kolkata,350,2024-02-04,2024-02-19,15,Medium,Rail,256666.2,15000,Pending
ORD1070,TMT Bar,996.51,CMO07,Pune,1750,2024-04-23,2024-05-05,12,Low,Rail,2092671.0,5000,Pending
ORD1071,Plate,1047.64,CMO04,Kolkata,350,2024-02-10,2024-02-24,14,Medium,Road,440008.8,15000,Pending
ORD1072,Semis,955.44,CMO06,Ahmedabad,1900,2024-03-11,2024-03-26,15,Medium,Rail,2178403.2,15000,Pending
ORD1073,Wire Rod,398.89,CMO01,Delhi,1200,2024-03-14,2024-03-20,6,High,Rail,574401.6,30000,Pending
